query	class
.net competencie between 1st of May and 2nd of December	0
.net training	0
Hub workshops in Chennai today	1
my proposals tomorrow	0
my corporates between 1st of May and 2nd of December	1
what are all my upcoming conferences in newyork for this month	1
ajax competencie on next tuesday	0
SAP competencie on wednesday	2
list all my corporate in newyork on wednesday	1
what are all the celebrations I am organizing on 21st April	1
scala related expert in oracle	0
list all my upcoming celebration I am speaking on next tuesday	1
who are all the experts	0
scala related courses for this month	2
competencie in oracle for this month	0
my corporates in bangalore for next week	1
SCALA trainings I am speaking for this week	1
oracle competencies for this month	2
ajax courses today	0
what are all my initiated apricots on next tuesday	0
what are all the workshop I am organizing on 21st April	1
list all the proposal	0
SAP lead with 5 years of experience	0
IBelong trainings in bangalore on Monday	1
d&i celebration in mumbai on this Saturday	1
what are all my initiated apricots for this week	0
SCALA conferences happening in chennai for this month	1
list all my risk for this month	0
white papers published in java	2
white paper in ajax on thursday	0
what are all the lessons learnt on Monday	0
my project training I am organizing for next month	1
my project corporates happening in chennai on this Saturday	1
list all my corporates I am participating From 17th April and 1st of May	1
list all the white papers on this Saturday	0
java workshop in bangalore today	1
oracle white papers today	2
developers with 5 years of experience in scala	0
list all my celebration in newyork today	1
.net designers with 5+ years of experience	0
IBelong celebration in newyork today	1
list all my project apricot between 1st of May and 2nd of December	0
Python workshops I am speaking on thursday	1
architect in oracle with 2-7 years of experience	0
java related best practices for next month	0
oracle course tomorrow	0
best practice in ajax on 21st April	0
list all my task on this Saturday	0
oracle proposals for next week	0
list all corporates in newyork tomorrow	1
iOS designer with 5 years of experience	0
IBelong celebration in Chennai on next tuesday	1
what are all my recommended corporates in Chennai on Monday	1
list all the case studies From 17th April and 1st of May	0
d&i trainings happening in chennai on thursday	1
oracle best practice for next week	0
what are all my open task on wednesday	0
ajax competencies tomorrow	0
what are all my upcoming workshop in Chennai on 21st April	1
ajax best practices on 21st April	0
courses in oracle on this Saturday	2
what are all the training on 21st April	1
list all my upcoming corporate happening in chennai on wednesday	1
list all my recommended trainings in Chennai for this month	1
what are all the celebrations I am participating tomorrow	1
Python conferences I am speaking on next tuesday	1
Hub event in Chennai today	1
Python training in Chennai	1
list all the case studies From 17th April and 1st of May	2
case studies available in scala for this month	2
trainings for this month	0
my proposal for next week	0
list all my closed tasks for this month	0
white papers in ajax	2
d&i events on next tuesday	1
list all events in newyork From 17th April and 1st of May	1
what are all the course on this Saturday	2
lessons learnt in oracle between 1st of May and 2nd of December	2
what are all the celebration in london on next tuesday	1
list all my project corporate in newyork on Monday	1
trainings available in scala on wednesday	2
UX training in mumbai for this month	1
who are all the designers with 2-7 years of experience	0
scala courses for this week	0
IBelong celebrations on next tuesday	1
scala designer in oracle	0
list all my open tasks From 17th April and 1st of May	0
list all my project risk for next month	0
java best practice for this week	0
list all celebration I am speaking tomorrow	1
trainings in ajax on wednesday	0
lessons learnt for this month	2
Python workshops I am organizing for next week	1
java courses tomorrow	0
Hub corporates I am participating From 17th April and 1st of May	1
my best practices between 1st of May and 2nd of December	2
oracle trainings in Chennai for this month	1
oracle competencies between 1st of May and 2nd of December	0
scala case studie for next week	0
SCALA trainings happening in chennai for next month	1
courses in oracle on thursday	0
SCALA corporates tomorrow	1
case studies in oracle on wednesday	0
my lessons learnt on this Saturday	0
what are all the conferences in mumbai on next tuesday	1
list all my project apricot on this Saturday	0
list all my project event in bangalore tomorrow	1
designer in ajax with experience more than 3 years	0
list all corporates happening in chennai	1
my trainings I am organizing tomorrow	1
ajax analyst with 5+ years of experience	0
list all my upcoming celebrations I am participating on Monday	1
what are all the corporate in mumbai tomorrow	1
what are all the celebrations I am speaking on thursday	1
scala case studie on next tuesday	0
list all my conference in bangalore today	1
developers in scala with 5 years of experience	0
java architect in oracle	0
list all celebrations in Chennai on next tuesday	1
SCALA celebration in mumbai tomorrow	1
my project issues on this Saturday	0
my celebration I am organizing for next week	1
